Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y
0,0.9091479778289795,0.18768228590488434,0.9195353388786316,0.2407902181148529,0.8523299098014832,0.18042856454849243
1,0.8828067183494568,0.1545250415802002,0.9082320332527161,0.2363443523645401,0.8510062098503113,0.1687837392091751
2,0.645520806312561,0.16007402539253235,0.6365033984184265,0.2167704850435257,0.5701874494552612,0.2062056064605713
3,0.6444507837295532,0.17277207970619202,0.6128851771354675,0.2138885110616684,0.5820525884628296,0.19621117413043976
4,0.6358335614204407,0.19522933661937714,0.6095443964004517,0.24052372574806213,0.5729503035545349,0.18059790134429932
5,0.6150229573249817,0.21473649144172668,0.6052635908126831,0.28179723024368286,0.5751663446426392,0.25140950083732605
6,0.6138586401939392,0.21736286580562592,0.6448493599891663,0.3122413754463196,0.6194299459457397,0.28114625811576843
7,0.6103196740150452,0.21029147505760193,0.6779075860977173,0.29438748955726624,0.6104657649993896,0.2760505974292755
8,0.5994075536727905,0.2111245095729828,0.6658875346183777,0.3068173825740814,0.6090916395187378,0.28044623136520386
9,0.6027516722679138,0.20643742382526398,0.6601731777191162,0.305266410112381,0.5944160223007202,0.2897542715072632
10,0.6004137396812439,0.2056845724582672,0.6571253538131714,0.3072052001953125,0.5828641057014465,0.2939300537109375
11,0.584363579750061,0.20812244713306427,0.6534894704818726,0.3091781735420227,0.5653495788574219,0.3012391924858093
12,0.5860968232154846,0.20968490839004517,0.6590921878814697,0.30706363916397095,0.5741603970527649,0.28883394598960876
13,0.5712317824363708,0.22436518967151642,0.6441027522087097,0.34067240357398987,0.5501406192779541,0.3178461492061615
14,0.572953999042511,0.23068879544734955,0.6461378335952759,0.3638097941875458,0.5519227981567383,0.31987109780311584
15,0.571747899055481,0.23268142342567444,0.6466051936149597,0.34557291865348816,0.5552309155464172,0.33036115765571594
16,0.5618206262588501,0.2348926067352295,0.6456104516983032,0.342602014541626,0.5605906844139099,0.32314297556877136
17,0.5604121088981628,0.23686814308166504,0.6497959494590759,0.3425489068031311,0.5663874745368958,0.3184668719768524
18,0.5623204708099365,0.23786799609661102,0.6491341590881348,0.3454428017139435,0.5665345191955566,0.3235984444618225
19,0.5649600028991699,0.2407170981168747,0.6490523219108582,0.3509194254875183,0.5622411370277405,0.33048948645591736
20,0.5669463872909546,0.24297136068344116,0.645335853099823,0.36605772376060486,0.5625805854797363,0.3306274116039276
